Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | ND | SYRIZA | PASOK-KINAL | ChA | KKE | EK | ANEL | LAE - AA | PE | Potami | EL | MeRA25 | EKE | ED | EAN… | Níki | Spartiátes | Other
Prorata | N/A | 2020-06-22 | 2020-06-26 | N | 2200 | N/A | 0.1 | 46.0 | 28.5 | 6.0 | 1.0 | 5.0 | N/A | N/A | N/A | N/A | N/A | 3.5 | 3.0 | 1.8 | N/A | N/A | N/A | N/A | N/A
GPO | Τα Νέα | 2020-06-22 | 2020-06-26 | N | 1500 | N/A | 0.5 | 49.0 | 26.0 | 7.0 | N/A | 6.5 | N/A | N/A | N/A | N/A | N/A | 5.0 | 3.0 | N/A | N/A | N/A | N/A | N/A | N/A
MRB | Star | 2020-06-17 | 2020-06-25 | N | 2200 | N/A | 0.1 | 46.2 | 25.2 | 7.6 | 1.7 | 6.0 | N/A | N/A | N/A | N/A | N/A | 4.4 | 3.2 | N/A | N/A | N/A | N/A | N/A | N/A
Interview | Βεργίνα TV | 2020-06-04 | 2020-06-09 | N | 1100 | N/A | 0.1 | 47.1 | 23.6 | 7.7 | N/A | 5.0 | N/A | N/A | N/A | N/A | N/A | 5.2 | 3.7 | N/A | N/A | N/A | N/A | N/A | N/A
Alco | Open TV | 2020-06-02 | 2020-06-08 | N | 1000 | N/A | 0.1 | 46.1 | 26.8 | 7.4 | 1.6 | 6.1 | N/A | N/A | N/A | 1.2 | N/A | 4.2 | 3.0 | N/A | N/A | N/A | N/A | N/A | N/A
Pulse RC | ΣΚΑΪ | 2020-06-01 | 2020-06-03 | N | 1208 | N/A | 0.5 | 48.0 | 26.0 | 6.5 | N/A | 5.5 | N/A | N/A | N/A | N/A | N/A | 4.0 | 3.5 | N/A | N/A | N/A | N/A | N/A | N/A
Opinion Poll | paraskhnio.gr | 2020-06-01 | 2020-06-03 | N | 1060 | N/A | 0.1 | 50.9 | 24.3 | 6.4 | 2.5 | 5.9 | N/A | N/A | N/A | N/A | N/A | 4.4 | 3.3 | N/A | N/A | N/A | N/A | N/A | N/A
Metron Analysis | MEGA TV | 2020-05-22 | 2020-05-27 | N | 1201 | N/A | 0.1 | 49.6 | 25.7 | 6.3 | 2.0 | 5.7 | N/A | N/A | N/A | N/A | N/A | 3.2 | 3.1 | N/A | N/A | N/A | N/A | N/A | N/A
GPO | Παραπολιτικά | 2020-05-22 | 2020-05-27 | N | 1000 | N/A | 0.1 | 50.2 | 24.1 | 7.2 | N/A | 6.5 | N/A | N/A | N/A | N/A | N/A | 4.8 | 3.0 | N/A | N/A | N/A | N/A | N/A | N/A
MRB | Star | 2020-05-08 | 2020-05-13 | N | 1228 | N/A | 0.1 | 49.7 | 25.2 | 6.2 | N/A | 5.3 | N/A | N/A | N/A | N/A | N/A | 4.8 | 3.7 | N/A | N/A | N/A | N/A | N/A | N/A
Alco | Open TV | 2020-05-05 | 2020-05-10 | N | 1000 | N/A | 0.1 | 46.2 | 26.1 | 6.8 | 2.8 | 6.4 | N/A | N/A | N/A | 1.5 | N/A | 4.4 | 2.5 | N/A | N/A | N/A | N/A | N/A | N/A
Opinion Poll | N/A | 2020-05-07 | 2020-05-09 | N | 1080 | N/A | 0.1 | 50.4 | 25.1 | 5.6 | 1.4 | 6.3 | N/A | N/A | N/A | N/A | N/A | 5.0 | 3.8 | N/A | N/A | N/A | N/A | N/A | N/A
Pulse RC | ΣΚΑΪ | 2020-05-04 | 2020-05-06 | N | 1207 | N/A | 0.5 | 48.0 | 25.0 | 7.0 | 1.5 | 6.0 | N/A | N/A | N/A | N/A | N/A | 4.5 | 3.0 | N/A | N/A | N/A | N/A | N/A | N/A
Interview | Βεργίνα TV | 2020-05-03 | 2020-05-06 | N | 1105 | N/A | 0.1 | 49.0 | 23.1 | 7.4 | N/A | 5.3 | N/A | N/A | N/A | N/A | N/A | 5.2 | 3.4 | N/A | N/A | N/A | N/A | N/A | N/A
Prorata | N/A | 2020-04-24 | 2020-04-29 | N | 2500 | N/A | 1 | 46.0 | 28.0 | 6.0 | 2.0 | 6.0 | N/A | N/A | N/A | N/A | N/A | 5.0 | 3.0 | N/A | N/A | N/A | N/A | N/A | N/A
Metron Analysis | MEGA TV | 2020-04-22 | 2020-04-28 | N | 1204 | N/A | 0.1 | 50.4 | 25.4 | 5.9 | 1.8 | 5.6 | N/A | N/A | N/A | N/A | N/A | 3.4 | 3.8 | N/A | N/A | N/A | N/A | N/A | N/A
GPO | Παραπολιτικά | 2020-04-14 | 2020-04-22 | N | 1000 | N/A | 0.1 | 49.8 | 25.8 | 7.3 | N/A | 5.5 | N/A | N/A | N/A | N/A | N/A | 4.9 | 3.0 | N/A | N/A | N/A | N/A | N/A | N/A
Κάπα Research | ΕΘΝΟΣ | 2020-04-15 | 2020-04-17 | N | 1060 | N/A | 0.1 | 49.0 | 27.3 | 5.9 | 2.4 | 5.1 | N/A | N/A | N/A | N/A | N/A | 3.8 | 3.3 | N/A | N/A | N/A | N/A | N/A | N/A
Marc | Alpha TV | 2020-04-11 | 2020-04-13 | N | 1020 | N/A | 0.1 | 52.7 | 24.5 | 6.5 | 1.8 | 5.8 | N/A | N/A | N/A | N/A | N/A | 3.7 | 2.4 | N/A | N/A | N/A | N/A | N/A | N/A
Pulse RC | ΣΚΑΪ | 2020-03-30 | 2020-04-01 | N | 1250 | N/A | 0.5 | 50.0 | 24.5 | 6.0 | 1.0 | 5.5 | N/A | N/A | N/A | N/A | N/A | 5.0 | 3.0 | N/A | N/A | N/A | N/A | N/A | N/A
Opinion Poll | Πρώτο ΘΕΜΑ | 2020-03-23 | 2020-03-26 | N | 1095 | N/A | 0.1 | 50.5 | 25.5 | 6.3 | N/A | 6.9 | N/A | N/A | N/A | N/A | N/A | 5.7 | 2.5 | N/A | N/A | N/A | N/A | N/A | N/A
Opinion Poll | Πρώτο ΘΕΜΑ | 2020-03-06 | 2020-03-07 | N | 1200 | N/A | 0.1 | 48.7 | 26.1 | 5.7 | N/A | 6.3 | N/A | N/A | N/A | N/A | N/A | 5.7 | 3.4 | N/A | N/A | N/A | N/A | N/A | N/A
Alco | Open TV | 2020-03-02 | 2020-03-07 | N | 1000 | N/A | 0.1 | 43.9 | 28.1 | 7.2 | 3.6 | 6.6 | N/A | N/A | N/A | 1.5 | N/A | 6.2 | 2.7 | N/A | N/A | N/A | N/A | N/A | N/A
Pulse RC | ΣΚΑΪ | 2020-03-03 | 2020-03-04 | N | 1258 | N/A | 0.5 | 43.5 | 28.0 | 7.5 | 1.5 | 5.5 | N/A | N/A | N/A | N/A | N/A | 6.0 | 3.0 | N/A | N/A | N/A | N/A | N/A | N/A
Opinion Poll | N/A | 2020-01-22 | 2020-01-27 | N | 1098 | N/A | 0.1 | 48.0 | 26.7 | 6.3 | N/A | 5.8 | N/A | N/A | N/A | N/A | N/A | 5.4 | 3.4 | N/A | N/A | N/A | N/A | N/A | N/A
Pulse RC | ΣΚΑΪ | 2020-01-21 | 2020-01-22 | N | 1210 | N/A | 0.5 | 43.0 | 29.0 | 7.5 | 1.5 | 5.5 | N/A | N/A | N/A | N/A | N/A | 5.0 | 3.5 | N/A | N/A | N/A | N/A | N/A | N/A
Metron Analysis | Το Βήμα | 2020-01-20 | 2020-01-22 | N | 1203 | N/A | 0.1 | 45.2 | 26.8 | 7.1 | N/A | 6.1 | N/A | N/A | N/A | N/A | N/A | 5.8 | 4.9 | N/A | N/A | N/A | N/A | N/A | N/A
MRB | Star | 2020-01-13 | 2020-01-17 | N | 1436 | N/A | 0.1 | 43.5 | 26.4 | 7.5 | 1.7 | 6.2 | N/A | N/A | N/A | N/A | N/A | 5.3 | 4.1 | N/A | N/A | N/A | N/A | N/A | N/A
Interview | Βεργίνα TV | 2020-01-07 | 2020-01-08 | N | 1005 | N/A | 0.1 | 45.8 | 28.1 | 5.4 | N/A | 5.4 | N/A | N/A | N/A | N/A | N/A | 4.7 | 3.5 | N/A | N/A | N/A | N/A | N/A | N/A
Pulse RC | ΣΚΑΪ | 2019-12-16 | 2019-12-18 | N | 1202 | N/A | 0.5 | 42.5 | 28.0 | 7.5 | 2.5 | 6.0 | N/A | N/A | N/A | N/A | N/A | 5.0 | 3.5 | N/A | N/A | N/A | N/A | N/A | N/A
MRB | Star | 2019-11-27 | 2019-12-05 | N | 2000 | N/A | 0.1 | 41.5 | 27.6 | 8.7 | 3.0 | 6.2 | N/A | N/A | N/A | N/A | N/A | 4.8 | 3.6 | N/A | N/A | N/A | N/A | N/A | N/A
Opinion Poll | N/A | 2019-11-25 | 2019-11-28 | N | 1058 | N/A | 0.1 | 49.0 | 27.8 | 6.4 | N/A | 6.2 | N/A | N/A | N/A | N/A | N/A | 5.4 | 3.6 | N/A | N/A | N/A | N/A | N/A | N/A
Pulse RC | ΣΚΑΪ | 2019-11-18 | 2019-11-20 | N | 1211 | N/A | 0.1 | 43.7 | 27.6 | 6.9 | 1.1 | 6.3 | N/A | N/A | N/A | N/A | N/A | 4.6 | 4.0 | N/A | N/A | N/A | N/A | N/A | N/A
Μetron Analysis | Το Βήμα | 2019-11-18 | 2019-11-20 | N | 1203 | N/A | 0.1 | 45.4 | 25.7 | 7.5 | 1.7 | 5.8 | N/A | N/A | N/A | N/A | N/A | 5.1 | 4.6 | N/A | N/A | N/A | N/A | N/A | N/A
Palmos Analysis | GUE–NGL | 2019-11-11 | 2019-11-14 | N | 1013 | N/A | 0.1 | 40.6 | 27.4 | 6.4 | 3.9 | 6.8 | 0.7 | N/A | N/A | 1.3 | N/A | 4.3 | 3.5 | N/A | N/A | N/A | N/A | N/A | N/A
Marc | Πρώτο ΘΕΜΑ | 2019-10-29 | 2019-10-31 | N | 1003 | N/A | 0.1 | 47.6 | 27.5 | 6.7 | 2.2 | 6.0 | N/A | N/A | N/A | 1.4 | N/A | 3.4 | 3.4 | N/A | N/A | N/A | N/A | N/A | N/A
Pulse RC | ΣΚΑΪ | 2019-10-22 | 2019-10-23 | N | 1103 | N/A | 0.5 | 44.0 | 28.5 | 7.0 | 1.5 | 5.5 | N/A | N/A | N/A | N/A | N/A | 4.0 | 4.5 | N/A | N/A | N/A | N/A | N/A | N/A
Pulse RC | ΣΚΑΪ | 2019-09-17 | 2019-09-18 | N | 1110 | N/A | 0.5 | 44.5 | 29.5 | 7.0 | N/A | 5.0 | N/A | N/A | N/A | N/A | N/A | 3.5 | 4.5 | N/A | N/A | N/A | N/A | N/A | N/A
Μetron Analysis | Το Βήμα | 2019-09-16 | 2019-09-18 | N | 1202 | N/A | 0.1 | 46.1 | 26.8 | 7.1 | 1.8 | 6.8 | N/A | N/A | N/A | N/A | N/A | 3.9 | 4.4 | N/A | N/A | N/A | N/A | N/A | N/A
MRB | Star | 2019-09-14 | 2019-09-16 | N | 1020 | N/A | 0.1 | 44.4 | 26.7 | 7.8 | N/A | 5.9 | N/A | N/A | N/A | N/A | N/A | 3.8 | 5.2 | N/A | N/A | N/A | N/A | N/A | N/A
Marc | Πρώτο ΘΕΜΑ | 2019-09-02 | 2019-09-05 | N | 1001 | N/A | 0.1 | 45.9 | 28.2 | 7.4 | 1.8 | 5.8 | N/A | N/A | N/A | 1.3 | N/A | 3.3 | 3.3 | N/A | N/A | N/A | N/A | N/A | N/A
Opinion Poll | N/A | 2019-09-02 | 2019-09-04 | N | 1102 | N/A | 0.1 | 48.3 | 26.6 | 6.2 | 2.4 | 5.1 | N/A | N/A | N/A | 1.6 | N/A | 3.7 | 3.8 | N/A | N/A | N/A | N/A | N/A | N/A
Metron Analysis | N/A | 2019-07-01 | 2019-07-05 | N | 1449 | N/A | 0.1 | 40.0 | 28.0 | 7.7 | 4.5 | 5.5 | 1.5 | N/A | N/A | N/A | N/A | 3.0 | 4.0 | N/A | N/A | N/A | N/A | N/A | N/A
Κάπα Research | ΕΘΝΟΣ | 2019-07-01 | 2019-07-05 | N | 1241 | N/A | 0.1 | 40.0 | 28.0 | 7.3 | 3.9 | 5.4 | 1.5 | N/A | N/A | 1.5 | N/A | 3.1 | 3.4 | N/A | N/A | N/A | N/A | N/A | N/A
Marc | ANT1 | 2019-07-02 | 2019-07-04 | N | 1412 | N/A | 0.1 | 38.9 | 27.5 | 7.0 | 3.6 | 5.5 | 1.2 | N/A | N/A | 1.9 | N/A | 3.9 | 3.7 | N/A | N/A | N/A | N/A | N/A | N/A
MRB | Star | 2019-07-01 | 2019-07-04 | N | 1205 | N/A | 0.1 | 38.8 | 28.5 | 7.8 | 3.9 | 5.7 | 2.4 | N/A | N/A | 1.7 | N/A | 3.4 | 4.1 | N/A | N/A | N/A | N/A | N/A | N/A
RASS | Action24 | 2019-07-01 | 2019-07-04 | N | 1003 | N/A | 0.1 | 39.4 | 27.7 | 8.2 | 2.7 | 5.9 | 2.0 | N/A | N/A | 1.8 | N/A | 3.2 | 3.0 | N/A | N/A | N/A | N/A | N/A | N/A
Pulse RC | ΣΚΑΪ | 2019-07-02 | 2019-07-03 | N | 1206 | N/A | 0.1 | 38.9 | 30.3 | 7.6 | 4.3 | 5.4 | 1.6 | N/A | N/A | 1.6 | N/A | 3.2 | 3.2 | N/A | N/A | N/A | N/A | N/A | N/A
Interview | Βεργίνα TV | 2019-07-01 | 2019-07-03 | N | 1005 | N/A | 0.1 | 35.7 | 25.1 | 7.2 | 4.3 | 5.3 | 1.7 | N/A | N/A | N/A | N/A | 4.0 | 2.4 | N/A | N/A | N/A | N/A | N/A | N/A
Public Issue | N/A | 2019-06-18 | 2019-07-03 | N | 1003 | N/A | 0.5 | 42.5 | 27.0 | 8.0 | 3.5 | 5.5 | 2.0 | N/A | N/A | N/A | N/A | 3.0 | 3.0 | N/A | N/A | N/A | N/A | N/A | N/A
Alco | Open TV | 2019-06-28 | 2019-07-02 | N | 1000 | N/A | 0.1 | 38.9 | 27.8 | 8.0 | 4.1 | 4.9 | 1.6 | N/A | N/A | 1.5 | N/A | 3.6 | 3.0 | N/A | N/A | N/A | N/A | N/A | N/A
Prorata | N/A | 2019-06-28 | 2019-07-01 | N | 1000 | N/A | 0.1 | 39.5 | 26.5 | 7.0 | 3.6 | 5.5 | N/A | N/A | N/A | N/A | N/A | 3.2 | 3.2 | N/A | N/A | N/A | N/A | N/A | N/A
Metron Analysis | Alpha TV | 2019-06-27 | 2019-07-01 | N | 1207 | N/A | 0.1 | 38.6 | 29.2 | 7.5 | 4.0 | 5.2 | 2.0 | N/A | N/A | 1.7 | N/A | 3.4 | 4.5 | N/A | N/A | N/A | N/A | N/A | N/A
RASS | in.gr | 2019-06-24 | 2019-06-27 | N | 1002 | N/A | 0.1 | 38.8 | 28.7 | 9.5 | 3.5 | 6.7 | 1.4 | N/A | N/A | N/A | N/A | 3.7 | 3.1 | N/A | N/A | N/A | N/A | N/A | N/A
Pulse RC | ΣΚΑΪ | 2019-06-24 | 2019-06-26 | N | 1504 | N/A | 0.1 | 38.9 | 29.4 | 7.2 | 4.4 | 5.5 | 1.7 | N/A | N/A | 1.1 | N/A | 3.9 | 3.9 | N/A | N/A | N/A | N/A | N/A | N/A
MRB | Τα Νέα | 2019-06-24 | 2019-06-26 | N | 1014 | N/A | 0.1 | 37.9 | 29.0 | 8.1 | 3.8 | 5.0 | 2.3 | N/A | N/A | 1.3 | N/A | 3.6 | 3.4 | N/A | N/A | N/A | N/A | N/A | N/A
Interview | Politik | 2019-06-24 | 2019-06-26 | N | 1005 | N/A | 0.1 | 39.1 | 28.5 | 7.3 | 4.6 | 5.2 | 1.7 | N/A | N/A | 1.1 | N/A | 4.5 | 2.8 | N/A | N/A | N/A | N/A | N/A | N/A
Marc | ANT1 | 2019-06-19 | 2019-06-23 | N | 1214 | N/A | 0.1 | 39.2 | 27.2 | 7.5 | 3.6 | 5.7 | 1.6 | N/A | N/A | 1.7 | N/A | 3.6 | 3.9 | N/A | N/A | N/A | N/A | N/A | N/A
Interview | Βεργίνα TV | 2019-06-18 | 2019-06-20 | N | 1000 | N/A | 0.1 | 34.2 | 22.4 | 6.0 | 3.2 | 4.8 | 1.5 | N/A | N/A | 1.8 | N/A | 3.8 | 2.5 | N/A | N/A | N/A | N/A | N/A | N/A
Prorata | Newpost | 2019-06-18 | 2019-06-20 | N | 1000 | N/A | 0.1 | 40.2 | 27.6 | 7.5 | 4.0 | 5.2 | 1.1 | N/A | N/A | 1.1 | 1.4 | 2.9 | 3.4 | N/A | N/A | N/A | N/A | N/A | N/A
Pulse RC | ΣΚΑΪ | 2019-06-18 | 2019-06-19 | N | 1221 | N/A | 0.1 | 37.1 | 29.0 | 8.3 | 5.7 | 6.8 | 2.3 | N/A | N/A | 2.3 | N/A | 4.0 | 4.5 | N/A | N/A | N/A | N/A | N/A | N/A
Opinion Poll | N/A | 2019-06-17 | 2019-06-19 | N | N/A | N/A | 0.1 | 39.8 | 27.0 | 6.4 | 3.3 | 4.6 | 1.1 | N/A | N/A | 2.3 | N/A | 3.6 | 4.1 | N/A | N/A | N/A | N/A | N/A | N/A
Metron Analysis | Το Βήμα | 2019-06-14 | 2019-06-19 | N | 1001 | N/A | 0.1 | 38.0 | 29.5 | 8.0 | 3.3 | 5.2 | 2.5 | N/A | N/A | N/A | N/A | 2.8 | 2.4 | N/A | N/A | N/A | N/A | N/A | N/A
Alco | N/A | 2019-06-13 | 2019-06-19 | N | 1000 | N/A | 0.1 | 32.4 | 23.2 | 6.5 | 3.8 | 4.8 | 1.1 | N/A | N/A | 1.8 | N/A | 3.0 | 3.5 | N/A | N/A | N/A | N/A | N/A | N/A
Marc | N/A | 2019-06-10 | 2019-06-13 | N | 1115 | N/A | 0.1 | 40.1 | 28.7 | 8.3 | 4.1 | 5.7 | 1.2 | N/A | N/A | N/A | N/A | 3.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Pulse RC | ΣΚΑΪ | 2019-06-10 | 2019-06-12 | N | 1356 | N/A | 0.1 | 37.9 | 28.8 | 7.3 | 5.6 | 6.2 | 1.1 | N/A | N/A | N/A | N/A | 3.4 | 4.0 | N/A | N/A | N/A | N/A | N/A | N/A
MRB | Star | 2019-06-10 | 2019-06-12 | N | 1003 | N/A | 0.1 | 37.0 | 28.0 | 7.3 | 5.4 | 6.0 | 2.1 | N/A | N/A | N/A | N/A | 3.0 | 4.0 | N/A | N/A | N/A | N/A | N/A | N/A
Metron Analysis | Alpha TV | 2019-06-03 | 2019-06-05 | N | 1201 | N/A | 0.1 | 39.8 | 29.6 | 7.8 | 4.7 | 4.8 | N/A | N/A | N/A | N/A | N/A | 2.5 | 3.5 | N/A | N/A | N/A | N/A | N/A | N/A
Pulse RC | ΣΚΑΪ | 2019-05-30 | 2019-06-01 | N | 1358 | N/A | 0.1 | 36.4 | 26.7 | 8.6 | 5.3 | 5.9 | 1.6 | N/A | N/A | 1.6 | 1.6 | 4.3 | 3.0 | N/A | N/A | N/A | N/A | N/A | N/A
Palmos Analysis | N/A | 2019-05-21 | 2019-05-23 | E | 1033 | N/A | 0.1 | 31.9 | 27.5 | 7.4 | 8.1 | 7.3 | 0.8 | 0.8 | 1.0 | N/A | 2.3 | 4.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Marc | N/A | 2019-05-20 | 2019-05-23 | E | 1507 | N/A | 0.1 | 35.4 | 27.0 | 8.0 | 6.5 | 5.8 | 1.9 | 1.2 | 1.3 | N/A | 1.6 | 2.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
RB | N/A | 2019-05-20 | 2019-05-23 | E | 1001 | N/A | 0.1 | 32.2 | 25.0 | 7.5 | 6.7 | 6.7 | 2.8 | 1.6 | N/A | 1.2 | 2.7 | 2.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Pulse RC | ΣΚΑΪ | 2019-05-21 | 2019-05-22 | E | 1208 | N/A | 0.1 | 34.6 | 26.8 | 7.8 | 7.3 | 6.1 | 2.1 | 1.6 | 1.6 | 1.4 | 1.9 | 2.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Κάπα Research | N/A | 2019-05-21 | 2019-05-22 | E | 1004 | N/A | 0.1 | 31.7 | 27.8 | 7.2 | 7.9 | 6.0 | 1.9 | 2.0 | 1.4 | 1.1 | 2.7 | 3.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Interview | N/A | 2019-05-20 | 2019-05-22 | E | 1105 | N/A | 0.1 | 37.1 | 28.1 | 7.4 | 5.8 | 5.6 | 1.8 | 1.3 | 1.3 | 1.6 | 1.3 | 3.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Innovation Metrisis | N/A | 2019-05-02 | 2019-05-21 | E | 1029 | N/A | 0.1 | 34.6 | 25.6 | 9.3 | 7.8 | 7.6 | 2.6 | N/A | 1.3 | 1.6 | 1.9 | 2.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Metron Analysis | N/A | 2019-05-16 | 2019-05-20 | E | 1433 | N/A | 0.1 | 35.5 | 27.1 | 6.6 | 5.9 | 5.6 | 2.8 | 1.3 | N/A | 1.9 | 2.0 | 2.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Alco | N/A | 2019-05-15 | 2019-05-19 | E | 1000 | N/A | 0.1 | 34.3 | 27.0 | 6.5 | 6.5 | 5.7 | 3.0 | 1.8 | 2.1 | 1.3 | 2.2 | 2.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Prorata | N/A | 2019-05-15 | 2019-05-18 | E | 1000 | N/A | 0.1 | 35.0 | 29.0 | 8.0 | 8.3 | 7.1 | 1.6 | 0.5 | 1.1 | 0.5 | 1.4 | 2.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
RASS | N/A | 2019-05-15 | 2019-05-17 | E | 1003 | N/A | 0.1 | 36.0 | 26.3 | 9.9 | 7.3 | 7.6 | 3.0 | 1.7 | N/A | N/A | N/A | 2.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Palmos Analysis | N/A | 2019-05-14 | 2019-05-17 | E | 1027 | N/A | 0.1 | 33.7 | 29.2 | 6.1 | 6.4 | 7.2 | 1.6 | 0.5 | 1.0 | 0.7 | 2.5 | 4.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Marc | N/A | 2019-05-14 | 2019-05-16 | E | 1304 | N/A | 0.1 | 34.8 | 26.2 | 7.5 | 7.0 | 6.1 | 2.2 | 1.3 | 1.7 | N/A | 1.4 | 2.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Metron Analysis | Το Βήμα | 2019-05-14 | 2019-05-16 | E | 1001 | 87.5 | 0.1 | 37.7 | 29.4 | 7.7 | 5.3 | 4.8 | 1.7 | 0.9 | 1.2 | 1.5 | 1.5 | 2.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
MRB | N/A | 2019-05-13 | 2019-05-16 | E | 1002 | N/A | 0.1 | 34.5 | 27.0 | 7.6 | 7.3 | 6.8 | 2.5 | 1.4 | N/A | N/A | 2.9 | 1.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Marc | N/A | 2019-05-10 | 2019-05-14 | E | 1292 | N/A | 1 | 35 | 26 | 8 | 7 | 6 | 2 | 1 | 2 | N/A | 1 | 3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Interview | N/A | 2019-05-10 | 2019-05-14 | E | 1000 | N/A | 1 | 35 | 26 | 8 | 7 | 7 | 2 | 1 | 1 | 1 | 1 | 3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Vox Pop Analysis | Documento | 2019-05-06 | 2019-05-08 | N | 1286 | N/A | 0.1 | 35 | 32 | 6 | 7 | 5 | 1 | 0 | 1 | 1 | 0.8 | 2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
MRB | Star | 2019-05-06 | 2019-05-08 | E | 1139 | N/A | 1 | 35 | 27 | 8 | 7 | 7 | 2 | 1 | N/A | N/A | 2 | 2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
MRB | Star | 2019-05-06 | 2019-05-08 | N | 1139 | 88.7 | 1 | 36 | 27 | 8 | 7 | 7 | 3 | 1 | N/A | N/A | 2 | 2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Alco | N/A | 2019-05-03 | 2019-05-06 | E | 1000 | N/A | 1 | 34 | 26 | 7 | 7 | 6 | 3 | N/A | 3 | N/A | N/A | 3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Pulse RC | ΣΚΑΪ | 2019-04-18 | 2019-04-20 | E | 1010 | N/A | 0.5 | 35.5 | 25.0 | 8.5 | 8.5 | 6.5 | 2.5 | 1.5 | 1.5 | 1.0 | 1.5 | 2.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Opinion Poll | ΘΕΜΑ 104.6 | 2019-04-15 | 2019-04-17 | E | 1204 | N/A | 0.1 | 40.6 | 21.8 | 7.1 | 6.7 | 6.3 | 2.3 | 0.4 | 1.6 | 1.3 | 1.7 | 2.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Metron Analysis | Alpha TV | 2019-04-15 | 2019-04-17 | E | 1200 | N/A | 0.1 | 35.0 | 25.6 | 8.5 | 5.9 | 7.5 | 2.6 | 1.2 | 1.3 | 1.3 | 2.1 | 2.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Metron Analysis | Alpha TV | 2019-04-15 | 2019-04-17 | N | 1200 | N/A | 0.1 | 37.5 | 27.3 | 8.7 | 6.7 | 6.4 | 2.2 | 1.3 | N/A | N/A | 2.0 | 3.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Interview | Βεργίνα TV | 2019-04-15 | 2019-04-17 | E | 1005 | N/A | 0.1 | 36.4 | 22.7 | 7.9 | 7.2 | 7.0 | 2.0 | 1.3 | 1.3 | 1.3 | 1.4 | 2.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Interview | Βεργίνα TV | 2019-04-15 | 2019-04-17 | N | 1005 | N/A | 0.1 | 36.8 | 25.4 | 8.1 | 8.7 | 7.0 | 2.4 | 1.5 | 1.6 | 1.7 | 1.4 | 2.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
MRB | Star | 2019-04-01 | 2019-04-03 | E | 1003 | N/A | 0.1 | 36.5 | 25.6 | 7.5 | 7.5 | 6.7 | 2.4 | 1.2 | N/A | N/A | 2.1 | 1.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
MRB | Star | 2019-04-01 | 2019-04-03 | N | 1003 | N/A | 0.1 | 37.3 | 27.4 | 7.6 | 7.3 | 7.2 | 2.4 | 1.2 | N/A | N/A | 1.6 | 2.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Marc | Πρώτο ΘΕΜΑ | 2019-03-26 | 2019-04-01 | E | 1200 | N/A | 0.1 | 39.2 | 24.8 | 8.9 | 7.2 | 6.3 | 2.0 | N/A | N/A | N/A | 1.5 | 2.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Marc | Πρώτο ΘΕΜΑ | 2019-03-26 | 2019-04-01 | N | 1200 | N/A | 0.1 | 37.2 | 26.1 | 7.9 | 7.1 | 6.3 | 3.1 | N/A | 1.1 | 1.1 | 1.3 | 3.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
RASS | in.gr | 2019-03-26 | 2019-03-28 | N | 1005 | N/A | 0.1 | 35.9 | 25.2 | 10.7 | 8.3 | 8.5 | 3.2 | 1.7 | N/A | N/A | N/A | 2.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Pulse RC | ΣΚΑΪ | 2019-03-23 | 2019-03-27 | N | 1452 | N/A | 1 | 37 | 25 | 8 | 8 | 7 | 2 | 2 | N/A | 2 | 2 | 3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
