Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | H | Ap | FrP | Sp | SV | V | KrF | MDG | R | ND | INP | Lib | Pp | K | Kp | Hp | FP | Other
Norstat | Vårt Land | 2020-01-21 | 2020-01-27 | N | N/A | N/A | 0.1 | 21.0 | 26.8 | 14.7 | 12.8 | 7.6 | 3.0 | 4.0 | 4.9 | 3.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.5
Ipsos MMI | Dagbladet | 2020-01-20 | 2020-01-22 | N | 1000 | 75.2 | 0.1 | 19.7 | 25.9 | 15.7 | 16.4 | 5.9 | 3.7 | 2.8 | 3.5 | 4.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.3
Kantar TNS | TV2 | 2020-01-21 | 2020-01-21 | N | 800 | 80.0 | 0.1 | 20.4 | 25.3 | 14.6 | 14.5 | 6.5 | 2.2 | 5.2 | 3.5 | 5.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.6
Respons Analyse | VG | 2020-01-20 | 2020-01-21 | N | 1182 | N/A | 0.1 | 20.9 | 25.2 | 14.2 | 14.8 | 7.0 | 3.1 | 3.2 | 5.2 | 3.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.6
Sentio | Amedia and Nettavisen | 2020-01-14 | 2020-01-18 | N | 1000 | N/A | 0.1 | 20.6 | 25.4 | 10.8 | 16.8 | 7.9 | 4.1 | 3.0 | 5.4 | 4.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.4
Opinion Perduco | Avisenes Nyhetsbyrå, Dagsavisen and FriFagbevegelse | 2020-01-15 | 2020-01-15 | N | 962 | N/A | 0.1 | 18.7 | 25.5 | 11.8 | 20.9 | 7.4 | 2.7 | 2.5 | 4.3 | 4.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.0
Kantar TNS | TV2 | 2020-01-06 | 2020-01-10 | N | 986 | 80.8 | 0.1 | 22.4 | 23.5 | 8.7 | 17.9 | 8.8 | 2.2 | 3.2 | 6.5 | 4.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.2
Norfakta | Klassekampen and Nationen | 2020-01-07 | 2020-01-08 | N | 1000 | 78.0 | 0.1 | 21.3 | 26.7 | 10.9 | 16.6 | 6.2 | 2.4 | 3.2 | 5.3 | 4.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.6
Respons Analyse | VG | 2020-01-06 | 2020-01-06 | N | 1001 | N/A | 0.1 | 22.4 | 24.0 | 11.4 | 15.8 | 6.6 | 2.5 | 4.2 | 6.1 | 5.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.9
Norstat | Aftenposten and NRK | 2019-12-30 | 2020-01-05 | N | 960 | N/A | 0.1 | 22.4 | 26.1 | 10.3 | 15.7 | 7.2 | 2.3 | 3.6 | 6.0 | 3.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.8
Ipsos MMI | N/A | 2019-12-16 | 2019-12-18 | N | N/A | N/A | 0.1 | 22.1 | 23.4 | 11.3 | 15.8 | 8.5 | 2.8 | 3.0 | 5.0 | 5.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.2
Norstat | N/A | 2019-12-09 | 2019-12-15 | N | 1000 | N/A | 0.1 | 20.9 | 25.5 | 11.8 | 18.5 | 7.1 | 2.9 | 2.6 | 4.6 | 4.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.6
Opinion Perduco | N/A | 2019-12-03 | 2019-12-08 | N | 966 | N/A | 0.1 | 20.6 | 22.9 | 10.7 | 20.2 | 7.5 | 1.9 | 2.6 | 5.9 | 5.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.0
Norfakta | N/A | 2019-12-03 | 2019-12-04 | N | 1000 | 81.0 | 0.1 | 22.6 | 21.3 | 10.1 | 19.2 | 7.7 | 3.9 | 4.0 | 5.0 | 3.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.3
Respons Analyse | N/A | 2019-11-28 | 2019-12-02 | N | 1000 | N/A | 0.1 | 22.0 | 23.0 | 10.3 | 17.4 | 6.2 | 3.5 | 3.9 | 5.9 | 5.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.5
Sentio | N/A | 2019-11-26 | 2019-12-02 | N | 1000 | N/A | 0.1 | 20.8 | 24.2 | 11.1 | 15.6 | 8.3 | 2.4 | 3.5 | 6.9 | 5.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.8
Kantar TNS | N/A | 2019-11-25 | 2019-11-29 | N | 974 | 81.5 | 0.1 | 19.1 | 21.9 | 9.8 | 17.6 | 7.9 | 4.4 | 4.1 | 6.1 | 5.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.2
Norstat | N/A | 2019-11-19 | 2019-11-25 | N | 966 | 77.5 | 0.1 | 19.7 | 22.9 | 12.5 | 18.1 | 6.5 | 3.5 | 2.8 | 6.4 | 4.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.2
Ipsos MMI | N/A | 2019-11-18 | 2019-11-20 | N | N/A | N/A | 0.1 | 20.9 | 22.0 | 9.7 | 19.2 | 8.3 | 2.6 | 3.5 | 5.3 | 5.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.5
Norstat | N/A | 2019-11-12 | 2019-11-18 | N | N/A | N/A | 0.1 | 20.8 | 22.9 | 9.0 | 20.0 | 8.1 | 2.0 | 2.9 | 6.9 | 4.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.1
Opinion Perduco | N/A | 2019-11-05 | 2019-11-11 | N | 964 | N/A | 0.1 | 20.6 | 21.7 | 8.9 | 20.9 | 8.4 | 3.0 | 3.8 | 6.5 | 4.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.8
Norfakta | N/A | 2019-11-05 | 2019-11-06 | N | 1000 | 79.0 | 0.1 | 22.9 | 22.3 | 8.4 | 19.2 | 7.1 | 4.3 | 3.4 | 6.1 | 4.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.1
Respons Analyse | N/A | 2019-10-31 | 2019-11-04 | N | 1003 | N/A | 0.1 | 21.3 | 23.0 | 11.4 | 16.5 | 6.5 | 3.2 | 3.9 | 5.9 | 6.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.3
Sentio | N/A | 2019-10-29 | 2019-11-02 | N | 1000 | N/A | 0.1 | 20.8 | 22.6 | 9.2 | 20.0 | 7.7 | 3.9 | 3.1 | 6.3 | 3.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.6
Kantar TNS | N/A | 2019-10-28 | 2019-11-01 | N | 982 | 81.9 | 0.1 | 21.1 | 22.6 | 9.2 | 19.5 | 5.6 | 3.4 | 2.9 | 6.9 | 6.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.2
Norstat | N/A | 2019-10-22 | 2019-10-28 | N | 957 | 73.5 | 0.1 | 21.8 | 23.7 | 8.4 | 17.5 | 7.4 | 3.3 | 3.9 | 6.1 | 6.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.0
Ipsos MMI | N/A | 2019-10-21 | 2019-10-23 | N | 764 | N/A | 0.1 | 21.1 | 22.6 | 10.3 | 17.6 | 6.4 | 3.6 | 2.7 | 7.0 | 6.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.5
Norstat | N/A | 2019-10-15 | 2019-10-21 | N | 929 | N/A | 0.1 | 20.1 | 21.6 | 11.7 | 18.1 | 7.7 | 3.3 | 3.6 | 6.2 | 4.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.8
Sentio | N/A | 2019-10-08 | 2019-10-14 | N | 1000 | N/A | 0.1 | 20.9 | 24.9 | 9.0 | 17.6 | 6.4 | 4.1 | 3.6 | 7.7 | 3.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.7
Opinion Perduco | N/A | 2019-10-01 | 2019-10-07 | N | 951 | N/A | 0.1 | 22.8 | 22.2 | 9.0 | 18.7 | 8.2 | 3.7 | 3.4 | 5.5 | 4.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.9
Kantar TNS | N/A | 2019-09-30 | 2019-10-04 | N | 980 | 84.6 | 0.1 | 20.2 | 23.3 | 9.0 | 15.6 | 8.9 | 2.6 | 3.9 | 7.2 | 6.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.2
Norfakta | N/A | 2019-10-01 | 2019-10-02 | N | 1000 | 81.0 | 0.1 | 21.4 | 23.5 | 10.5 | 17.2 | 7.0 | 3.8 | 3.3 | 6.0 | 4.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.3
Norstat | N/A | 2019-09-24 | 2019-09-30 | N | N/A | N/A | 0.1 | 19.7 | 24.1 | 8.6 | 18.6 | 6.6 | 3.4 | 3.7 | 7.8 | 3.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.0
Respons Analyse | N/A | 2019-09-23 | 2019-09-25 | N | 1000 | N/A | 0.1 | 20.6 | 26.3 | 11.9 | 14.8 | 6.7 | 3.0 | 4.2 | 6.9 | 3.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.3
Ipsos MMI | N/A | 2019-09-23 | 2019-09-25 | N | 939 | N/A | 0.1 | 21.3 | 22.0 | 11.7 | 17.3 | 8.4 | 2.6 | 3.4 | 6.4 | 4.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.8
Norstat | N/A | 2019-09-17 | 2019-09-19 | N | 712 | N/A | 0.1 | 21.1 | 20.8 | 11.2 | 15.8 | 9.1 | 2.9 | 3.7 | 8.6 | 4.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.4
Sentio | N/A | 2019-09-10 | 2019-09-16 | N | 1000 | N/A | 0.1 | 21.1 | 22.6 | 12.4 | 16.8 | 6.9 | 3.0 | 3.4 | 6.1 | 4.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.6
Norfakta | N/A | 2019-09-03 | 2019-09-04 | N | 1003 | N/A | 0.1 | 22.1 | 23.8 | 11.0 | 17.1 | 7.4 | 2.4 | 3.3 | 6.5 | 3.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.1
Norstat | N/A | 2019-08-27 | 2019-09-02 | N | 751 | 79.0 | 0.1 | 21.2 | 24.8 | 11.6 | 16.1 | 6.1 | 3.4 | 3.9 | 5.4 | 4.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.1
Norstat | N/A | 2019-08-20 | 2019-08-26 | N | 943 | N/A | 0.1 | 22.8 | 22.2 | 11.7 | 16.0 | 6.3 | 3.1 | 4.4 | 5.7 | 5.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.8
Ipsos MMI | N/A | 2019-08-19 | 2019-08-21 | N | 719 | N/A | 0.1 | 20.9 | 23.4 | 11.1 | 16.1 | 7.9 | 3.0 | 2.7 | 6.7 | 4.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.8
Sentio | N/A | 2019-08-13 | 2019-08-18 | N | 1000 | N/A | 0.1 | 20.9 | 27.3 | 8.9 | 14.4 | 6.5 | 3.7 | 3.5 | 5.4 | 4.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.5
Norstat | N/A | 2019-08-06 | 2019-08-12 | N | 953 | 76.4 | 0.1 | 22.8 | 24.6 | 10.9 | 14.2 | 5.9 | 2.7 | 3.2 | 5.3 | 6.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.1
Kantar TNS | N/A | 2019-08-05 | 2019-08-09 | N | 973 | 76.5 | 0.1 | 22.8 | 23.5 | 9.1 | 15.3 | 8.4 | 2.0 | 3.8 | 6.4 | 5.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.5
Norfakta | N/A | 2019-08-06 | 2019-08-07 | N | 1000 | 82.0 | 0.1 | 24.2 | 24.4 | 9.0 | 15.9 | 7.5 | 2.8 | 3.9 | 3.7 | 5.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.7
Opinion Perduco | N/A | 2019-07-30 | 2019-08-05 | N | 960 | 69.0 | 0.1 | 22.1 | 22.2 | 10.1 | 14.6 | 8.8 | 3.1 | 3.2 | 7.0 | 5.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.8
Norfakta | N/A | 2019-07-02 | 2019-07-03 | N | 1001 | 75.0 | 0.1 | 21.2 | 24.4 | 8.8 | 15.1 | 7.6 | 2.9 | 4.3 | 5.5 | 4.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 6.0
Kantar TNS | N/A | 2019-06-24 | 2019-06-28 | N | 978 | 79.8 | 0.1 | 22.0 | 25.5 | 7.5 | 13.3 | 7.8 | 5.0 | 3.4 | 4.9 | 5.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.9
Ipsos MMI | N/A | 2019-06-24 | 2019-06-26 | N | 723 | N/A | 0.1 | 20.5 | 27.8 | 10.7 | 14.4 | 6.9 | 2.3 | 2.3 | 3.9 | 5.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 6.0
Norstat | N/A | 2019-06-18 | 2019-06-24 | N | 950 | N/A | 0.1 | 23.0 | 26.0 | 9.0 | 14.3 | 7.0 | 2.5 | 4.2 | 5.7 | 5.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.9
Sentio | N/A | 2019-06-11 | 2019-06-17 | N | 1000 | N/A | 0.1 | 22.7 | 25.2 | 10.5 | 15.2 | 6.8 | 2.5 | 2.7 | 5.8 | 4.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.1
Opinion Perduco | N/A | 2019-06-04 | 2019-06-10 | N | 956 | 74.0 | 0.1 | 19.1 | 23.0 | 11.4 | 16.9 | 6.4 | 2.8 | 2.6 | 6.5 | 7.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.2
Respons Analyse | N/A | 2019-06-03 | 2019-06-06 | N | 1002 | 78.0 | 0.1 | 23.1 | 26.0 | 10.7 | 13.3 | 6.8 | 3.5 | 3.6 | 4.9 | 5.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.9
Norfakta | N/A | 2019-06-04 | 2019-06-05 | N | 1000 | N/A | 0.1 | 24.3 | 25.2 | 10.2 | 15.8 | 6.0 | 1.5 | 3.2 | 5.7 | 5.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.4
Norstat | N/A | 2019-05-28 | 2019-06-03 | N | 951 | N/A | 0.1 | 21.0 | 24.4 | 11.4 | 14.9 | 6.8 | 2.7 | 3.5 | 6.3 | 5.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.0
Ipsos MMI | N/A | 2019-05-27 | 2019-05-29 | N | 739 | N/A | 0.1 | 20.7 | 26.9 | 12.1 | 15.2 | 6.3 | 2.0 | 2.3 | 4.6 | 5.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.8
Norstat | N/A | 2019-05-21 | 2019-05-27 | N | 940 | N/A | 0.1 | 22.9 | 23.7 | 12.5 | 13.3 | 6.5 | 3.4 | 3.7 | 4.3 | 4.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 5.0
Sentio | N/A | 2019-05-14 | 2019-05-18 | N | 1000 | N/A | 0.1 | 22.6 | 23.1 | 11.9 | 15.8 | 6.1 | 2.3 | 3.6 | 5.1 | 6.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.9
Opinion Perduco | N/A | 2019-05-07 | 2019-05-13 | N | 951 | N/A | 0.1 | 21.2 | 27.2 | 13.1 | 14.1 | 8.3 | 2.1 | 2.7 | 4.0 | 5.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.4
Norfakta | N/A | 2019-05-07 | 2019-05-08 | N | 1003 | N/A | 0.1 | 24.4 | 25.1 | 11.9 | 14.4 | 7.4 | 3.0 | 3.2 | 3.0 | 4.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.7
Norstat | N/A | 2019-04-30 | 2019-05-06 | N | 1000 | N/A | 0.1 | 20.2 | 26.5 | 12.6 | 15.0 | 6.2 | 3.7 | 3.5 | 3.9 | 5.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.3
Kantar TNS | N/A | 2019-04-29 | 2019-05-03 | N | 987 | 79.3 | 0.1 | 21.0 | 26.0 | 11.6 | 14.7 | 7.2 | 4.1 | 3.9 | 3.9 | 5.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.3
Norstat | N/A | 2019-05-02 | 2019-05-02 | N | N/A | N/A | 0.1 | 20.4 | 27.6 | 11.2 | 15.7 | 7.5 | 2.3 | 3.3 | 4.8 | 5.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.3
Respons Analyse | N/A | 2019-04-29 | 2019-05-02 | N | 1000 | N/A | 0.1 | 21.6 | 28.2 | 13.0 | 12.5 | 8.4 | 1.9 | 4.1 | 4.4 | 3.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.0
Ipsos MMI | N/A | 2019-04-23 | 2019-04-25 | N | 942 | N/A | 0.1 | 23.8 | 28.1 | 10.1 | 14.4 | 6.8 | 2.2 | 3.9 | 3.0 | 4.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.2
Sentio | N/A | 2019-04-16 | 2019-04-16 | N | N/A | N/A | 0.1 | 23.2 | 27.5 | 10.0 | 15.4 | 7.0 | 2.4 | 3.4 | 4.1 | 4.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.4
Opinion Perduco | N/A | 2019-04-02 | 2019-04-08 | N | 954 | N/A | 0.1 | 21.5 | 27.5 | 10.6 | 16.7 | 8.2 | 2.3 | 2.6 | 3.7 | 4.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.5
Respons Analyse | N/A | 2019-04-02 | 2019-04-04 | N | 1001 | N/A | 0.1 | 22.4 | 25.6 | 10.1 | 15.6 | 7.6 | 4.3 | 3.0 | 3.9 | 4.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.8
Norfakta | N/A | 2019-04-02 | 2019-04-03 | N | 1032 | N/A | 0.1 | 22.5 | 26.1 | 11.2 | 15.2 | 8.4 | 3.0 | 3.8 | 3.0 | 4.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.5
Norstat | N/A | 2019-03-26 | 2019-04-01 | N | 628 | N/A | 0.1 | 22.3 | 24.0 | 11.9 | 16.9 | 7.0 | 2.9 | 4.2 | 4.7 | 3.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.4
Kantar TNS | N/A | 2019-03-25 | 2019-03-29 | N | 982 | 80.6 | 0.1 | 21.6 | 24.3 | 10.4 | 16.9 | 7.5 | 3.4 | 3.7 | 5.0 | 5.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.2
Norstat | N/A | 2019-03-27 | 2019-03-27 | N | N/A | N/A | 0.1 | 24.6 | 26.6 | 12.1 | 14.3 | 6.8 | 1.8 | 2.4 | 4.3 | 4.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.2
Ipsos MMI | N/A | 2019-03-18 | 2019-03-20 | N | 942 | N/A | 0.1 | 21.3 | 28.8 | 11.7 | 14.4 | 7.0 | 2.0 | 2.5 | 3.6 | 5.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.1
Sentio | N/A | 2019-03-12 | 2019-03-18 | N | 1000 | N/A | 0.1 | 24.7 | 27.7 | 10.6 | 14.5 | 7.3 | 2.3 | 3.0 | 3.2 | 5.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.4
Opinion Perduco | N/A | 2019-03-05 | 2019-03-11 | N | 957 | N/A | 0.1 | 26.1 | 25.1 | 10.6 | 12.7 | 7.1 | 2.0 | 4.8 | 6.0 | 4.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0.8
Norfakta | N/A | 2019-03-05 | 2019-03-06 | N | 1002 | 74.0 | 0.1 | 24.6 | 27.0 | 10.7 | 14.0 | 8.1 | 2.3 | 3.3 | 3.7 | 4.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.8
Respons Analyse | N/A | 2019-02-28 | 2019-03-04 | N | 1000 | N/A | 0.1 | 24.3 | 24.3 | 12.6 | 14.6 | 7.6 | 2.8 | 3.8 | 3.3 | 5.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.7
Norstat | N/A | 2019-02-26 | 2019-03-04 | N | 653 | N/A | 0.1 | 24.3 | 26.5 | 12.1 | 12.4 | 8.0 | 1.9 | 4.0 | 4.4 | 4.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.5
Kantar TNS | N/A | 2019-02-25 | 2019-03-01 | N | 972 | 73.7 | 0.1 | 24.8 | 27.4 | 10.2 | 12.8 | 8.0 | 2.2 | 3.7 | 3.6 | 4.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.7
Norstat | N/A | 2019-02-19 | 2019-02-25 | N | N/A | N/A | 0.1 | 22.3 | 26.9 | 12.5 | 16.0 | 6.6 | 1.8 | 3.2 | 3.0 | 6.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.5
Ipsos MMI | N/A | 2019-02-18 | 2019-02-20 | N | 932 | N/A | 0.1 | 25.1 | 26.9 | 10.0 | 13.0 | 7.0 | 2.3 | 2.5 | 3.8 | 6.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.8
Sentio | N/A | 2019-02-12 | 2019-02-19 | N | 1000 | N/A | 0.1 | 21.1 | 27.4 | 10.8 | 15.6 | 8.0 | 2.3 | 3.4 | 3.9 | 5.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.4
Opinion Perduco | N/A | 2019-02-05 | 2019-02-11 | N | 942 | 73.0 | 0.1 | 22.1 | 28.2 | 11.8 | 13.9 | 8.0 | 2.3 | 3.2 | 2.3 | 7.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0.6
Norfakta | N/A | 2019-02-05 | 2019-02-06 | N | 1005 | 78.0 | 0.1 | 22.9 | 29.3 | 10.9 | 12.7 | 7.2 | 3.3 | 4.1 | 3.3 | 4.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.3
Respons Analyse | N/A | 2019-01-31 | 2019-02-04 | N | 1001 | 72.0 | 0.1 | 22.9 | 29.7 | 10.5 | 12.2 | 7.8 | 3.9 | 3.8 | 3.8 | 3.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.8
Norstat | N/A | 2019-01-29 | 2019-02-04 | N | 937 | 70.0 | 0.1 | 22.9 | 29.2 | 12.0 | 11.8 | 7.8 | 2.6 | 3.4 | 3.2 | 4.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.2
Kantar TNS | N/A | 2019-01-28 | 2019-02-02 | N | 986 | 82.7 | 0.1 | 23.6 | 26.5 | 11.7 | 10.4 | 8.8 | 2.5 | 4.1 | 3.6 | 6.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.5
Norstat | N/A | 2019-01-22 | 2019-01-28 | N | 691 | N/A | 0.1 | 22.5 | 29.1 | 13.5 | 11.2 | 7.3 | 2.7 | 3.5 | 3.7 | 4.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.1
Ipsos MMI | N/A | 2019-01-21 | 2019-01-23 | N | 935 | N/A | 0.1 | 22.8 | 29.8 | 13.0 | 10.9 | 8.0 | 2.2 | 2.7 | 3.2 | 4.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.2
Sentio | N/A | 2019-01-15 | 2019-01-21 | N | 1000 | 65.2 | 0.1 | 23.6 | 26.3 | 13.2 | 13.4 | 6.9 | 4.3 | 3.5 | 3.8 | 3.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.8
Opinion Perduco | N/A | 2019-01-08 | 2019-01-14 | N | 957 | 72.0 | 0.1 | 22.9 | 28.5 | 10.8 | 12.6 | 7.9 | 2.4 | 3.7 | 3.2 | 5.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.5
Kantar TNS | N/A | 2019-01-03 | 2019-01-10 | N | 980 | 77.4 | 0.1 | 24.2 | 27.9 | 12.0 | 12.2 | 7.2 | 3.6 | 3.0 | 2.8 | 4.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.0
Norfakta | N/A | 2019-01-08 | 2019-01-09 | N | 1000 | N/A | 0.1 | 24.7 | 27.7 | 12.0 | 12.5 | 7.4 | 3.3 | 3.8 | 2.8 | 3.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.9
Respons Analyse | N/A | 2019-01-03 | 2019-01-07 | N | 1001 | N/A | 0.1 | 26.0 | 29.7 | 11.5 | 10.5 | 6.7 | 4.4 | 3.8 | 2.8 | 3.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.5
Norstat | N/A | 2019-01-02 | 2019-01-07 | N | 925 | 76.5 | 0.1 | 27.0 | 27.3 | 12.2 | 12.1 | 7.4 | 3.1 | 3.7 | 2.4 | 3.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.6
Ipsos MMI | N/A | 2018-12-17 | 2018-12-19 | N | 944 | N/A | 0.1 | 24.7 | 28.5 | 12.8 | 10.4 | 8.1 | 3.0 | 3.8 | 3.7 | 2.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.3
Norstat | N/A | 2018-12-11 | 2018-12-17 | N | 927 | N/A | 0.1 | 26.5 | 26.8 | 12.4 | 11.2 | 6.9 | 3.4 | 3.5 | 3.4 | 4.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.8
Opinion Perduco | N/A | 2018-12-04 | 2018-12-10 | N | 946 | 73.0 | 0.1 | 22.9 | 27.1 | 14.6 | 11.9 | 5.8 | 4.4 | 3.4 | 3.6 | 5.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.1
Norfakta | N/A | 2018-12-04 | 2018-12-05 | N | 1000 | 76.0 | 0.1 | 25.9 | 28.4 | 12.0 | 11.6 | 7.4 | 3.0 | 3.8 | 2.5 | 3.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.3
Respons Analyse | N/A | 2018-11-29 | 2018-12-04 | N | 1000 | N/A | 0.1 | 25.7 | 26.0 | 13.5 | 10.5 | 8.8 | 3.4 | 4.1 | 2.4 | 3.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.7
